uid,organoid
TC014_115A,TSCp5_32s
TC014_012A,TSCp5_32s
TC014_013A,TSCp5_32s
TC014_038B,TSCp5_32s
TC014_045C,TSCp5_32s
TC014_057C,TSCp5_32s
TC014_070C,TSCp5_32s
TC014_094D,TSCp5_32s
TC014_102D,TSCp5_32s
TC014_108D,TSCp5_32s
TC072_035B,TSCp5_32s
TC072_014B,TSCp5_32s
TC072_015B,TSCp5_32s
TC072_019C,TSCp5_32s
TC072_032D,TSCp5_32s
TC072_033D,TSCp5_32s
TC005_016A,TSCp5_30s
TC005_381A,TSCp5_30s
TC005_034A,TSCp5_30s
TC005_038A,TSCp5_30s
TC005_053B,TSCp5_30s
TC005_068B,TSCp5_30s
TC005_092B,TSCp5_30s
TC005_110C,TSCp5_30s
TC005_113C,TSCp5_30s
TC005_373C,TSCp5_30s
TC005_372D,TSCp5_30s
TC005_148D,TSCp5_30s
TC005_374D,TSCp5_30s
TC025_001A,TSCp5_30s
TC025_004A,TSCp5_30s
TC025_011A,TSCp5_30s
TC025_024B,TSCp5_30s
TC025_058B,TSCp5_30s
TC025_027B,TSCp5_30s
TC025_048D,TSCp5_30s
TC029_003B,TSCp5_32s
TC029_005C,TSCp5_32s
TC016_005C,TSCp5_32s
TC016_008C,TSCp5_32s
TC016_027D,TSCp5_32s
TC051e1r3_000A,TSCp5_32s_CHIR
TC051e1r3_038A,TSCp5_32s_CHIR
TC051e1r3_014A,TSCp5_32s_CHIR
TC051e1r3_031C,TSCp5_32s_CHIR
TC048_028B,TSCp5_30s_CHIR
TC048_030C,TSCp5_30s_CHIR
TC048_031C,TSCp5_30s_CHIR
TC048_029D,TSCp5_30s_CHIR
TC048_019D,TSCp5_30s_CHIR
TC048_023D,TSCp5_30s_CHIR
TC040_006A,TSCp5_32s
TC040_008A,TSCp5_32s
TC040_061C,TSCp5_32s
TC040_065C,TSCp5_32s
TC017_000A,TSCp5_30s
TC017_004A,TSCp5_30s
TC017_020B,TSCp5_30s
TC017_026B,TSCp5_30s
TC017_028B,TSCp5_30s
TC017_030B,TSCp5_30s
TC017_049C,TSCp5_30s
TC017_039C,TSCp5_30s
TC011_000A,TSCp5_30s
TC011_012C,TSCp5_30s
TC011_014F,TSCp5_30s
TC011_021G,TSCp5_30s
TC011_026G,TSCp5_30s
TC011_027G,TSCp5_30s
TC011_029H,TSCp5_30s
TC036_000A,TSCp5_32s
TC036_010B,TSCp5_32s
TC036_042C,TSCp5_32s
TC060_032B,TSCp24_4_R2C4
TC060_083D,TSCp24_4_R2C4
TC000_000A,TSCp5_32s
TC000_001B,TSCp5_32s
TC000_004D,TSCp5_32s
TC049e1r2_049A,TSCp5_32s_CHIR
TC049e1r2_031A,TSCp5_32s_CHIR
TC049e1r2_002B,TSCp5_32s_CHIR
TC049e1r2_010B,TSCp5_32s_CHIR
TC049e1r2_028B,TSCp5_32s_CHIR
TC049e1r2_024C,TSCp5_32s_CHIR
TC049e1r2_019D,TSCp5_32s_CHIR
TC049e1r2_016D,TSCp5_32s_CHIR
TC056_000A,TSCp5_32s
TC056_001A,TSCp5_32s
TC056_041B,TSCp5_32s
TC056_024C,TSCp5_32s
TC056_028C,TSCp5_32s
TC056_042C,TSCp5_32s
TC056_035C,TSCp5_32s
TC056_038C,TSCp5_32s
TC025loc_007A,TSCp5_30s
TC025loc_014A,TSCp5_30s
TC025loc_035B,TSCp5_30s
TC025loc_130D,TSCp5_30s
TC025loc_139D,TSCp5_30s
TC076_034B,TSCp24_4_R2C4
TC038C_079A,TSCp5_30s
TC038C_077C,TSCp5_30s
TC038C_078D,TSCp5_30s
TC038C_075D,TSCp5_30s
TC022_000A,TSCp5_32s
TC022_005C,TSCp5_32s
TC022_006C,TSCp5_32s
TC022_008C,TSCp5_32s
TC066_022A,TSCp24_4
TC066_066A,TSCp24_4
TC066_191D,TSCp24_4
TC066_194D,TSCp24_4
TC066_199D,TSCp24_4
TC003_002B,TSCp5_32s
TC003_004B,TSCp5_32s
TC044e1r1_006C,TSCp5_32s_CHIR
TC044e1r1_013D,TSCp5_32s_CHIR
TC044e1r1_014D,TSCp5_32s_CHIR
TC046_000A,TSCp5_30s_CHIR
TC046_001A,TSCp5_30s_CHIR
TC046_002C,TSCp5_30s_CHIR
TC042_021B,TSCp5_30s
TC042_007B,TSCp5_30s
TC042_020C,TSCp5_30s
TC008_389A,TSCp5_32s
TC008_032A,TSCp5_32s
TC008_390A,TSCp5_32s
TC008_061A,TSCp5_32s
TC008_074B,TSCp5_32s
TC008_075B,TSCp5_32s
